	Bloc Québécois	C.C.F.	Canadian Alliance	Conservatives	Green Party	Liberal	New Democratic Party	Other	Progressive Conservative	Reform	Social Credit	
2011	14			-44	11	24	-9	2				
2008	-18			-27	21	4	19	2				
2006	-19			-12	14	-10	25	3				
2004	-16			-8	13	-22	29	3				
2000	-6		11			-49	13	7	25			
1997	-12					-39	12	4	37	-2		
1993	-14					-55	11	10	45	3		
1988						11	17	14	-42		0	
1984						39	23	10	-70		0	
1980						-22	24	5	-11		5	
1979						-1	24	4	-35		7	
1974						-27	25	1	-2		2	
1972						-7	16	1	-15		5	
1968						-35	23	-11	11		0	
1965						-26	26	4	-12		5	
1963						-18	18	1	-8		8	
1962						0	17	0	-17		1	
1958		17				41		1	-66		7	
1957		4				7		-1	-9		-2	
1953		7				-38		1	31		-1	
1949		22				-59		4	37		-4	
1945		10				-24		15	1		-3	
1940												
https://www.sfu.ca/~aheard/elections/1867-present.html
